Time,MinTemp,Cloudness,Qout,24h out,Qd,%,Qf,Qbs a,Qbs w,Qbs s,% bs a/d,% bs w/d,% bs s/d,% f/d,Qhwp,% hw
37,-1.7E+01,93,2.772128504E+02,6.6531084095999995E+03,7.202755774713171E+02,1.0826151223268911E-01,5.734848073806592E+02,6.662929461997624E+02,7.093374666217666E+02,0E+00,7.494719099191509E-02,1.5186008233058653E-02,1E+00,2.0379806657612717E-01,4.96E+03,1.452168502966365E-01
38,-1.8E+01,96,2.847050896E+02,6.8329221504E+03,4.112111804890381E+02,6.018086719529883E-02,3.273574309636078E+02,3.812803018501917E+02,4.0526808521685444E+02,0E+00,7.278712267319852E-02,1.4452659738277883E-02,1E+00,2.0391894360874668E-01,4.96E+03,8.290547993730607E-02
39,-1.7E+01,86,2.772128504E+02,6.6531084095999995E+03,1.4379755025730433E+03,2.1613588927818145E-01,1.1444873100718983E+03,1.336441742949122E+03,1.4182160697959441E+03,0E+00,7.060882431045705E-02,1.3741147009627492E-02,1E+00,2.040981866353018E-01,4.96E+03,2.8991441584133937E-01
40,-1.8E+01,71,2.847050896E+02,6.8329221504E+03,2.9758886838327157E+03,4.3552211167201826E-01,2.3677616432920113E+03,2.7721785582617626E+03,2.93700362078355E+03,0E+00,6.845354353395706E-02,1.306670617769371E-02,1E+00,2.0435140731053267E-01,4.96E+03,5.999775572243379E-01
41,-1.8E+01,85,2.847050896E+02,6.8329221504E+03,1.5378733988363558E+03,2.2506818678540463E-01,1.223209837955062E+03,1.435888996400286E+03,1.518763312438964E+03,0E+00,6.631521327648751E-02,1.2426306620461474E-02,1E+00,2.0460953490670067E-01,4.96E+03,3.1005512073313624E-01
42,-1.8E+01,77,2.847050896E+02,6.8329221504E+03,2.355884341698222E+03,3.4478430894464507E-01,1.873036902149756E+03,2.2046685967697376E+03,2.3280464355691397E+03,0E+00,6.418640433743948E-02,1.1816329705309552E-02,1E+00,2.0495379633127878E-01,4.96E+03,4.7497668179399644E-01
43,-1.5E+01,94,2.6222837200000004E+02,6.293480928000001E+03,6.140576978161525E+02,9.757043913236953E-02,4.879707105810636E+02,5.759417228746203E+02,6.071528872892275E+02,0E+00,6.207230212582417E-02,1.124456309477332E-02,1E+00,2.0533410408094752E-01,4.96E+03,1.2380195520486946E-01
44,-1.8E+01,93,2.847050896E+02,6.8329221504E+03,7.157055989254263E+02,1.0474370747565577E-01,5.684461654719327E+02,6.727908971431315E+02,7.080337789065504E+02,0E+00,5.9961388938032364E-02,1.0719239908692231E-02,1E+00,2.05754200714081E-01,4.96E+03,1.4429548365431982E-01
45,-1.6E+01,81,2.697206112E+02,6.4732946688E+03,1.9408776543399179E+03,2.9982841097819385E-01,1.5405431683487718E+03,1.828498326218244E+03,1.9210134243856307E+03,0E+00,5.790129422655099E-02,1.0234663637797833E-02,1E+00,2.0626466851013225E-01,4.96E+03,3.9130597869756406E-01
46,-1.9E+01,82,2.9219732880000004E+02,7.012735891200001E+03,1.8371483219908819E+03,2.6197312297134207E-01,1.4572283496031014E+03,1.7345616561126321E+03,1.8191764928334853E+03,0E+00,5.584016524429488E-02,9.782459555535951E-03,1E+00,2.0679874773315454E-01,4.96E+03,3.7039280685300036E-01
47,-1.7E+01,87,2.772128504E+02,6.6531084095999995E+03,1.3255976136229676E+03,1.992448539858778E-01,1.050648217440086E+03,1.2543161079533531E+03,1.313180141837775E+03,0E+00,5.3773109529668114E-02,9.367451825184447E-03,1E+00,2.0741542784723513E-01,4.96E+03,2.6725758339172734E-01
48,-1.6E+01,95,2.697206112E+02,6.4732946688E+03,5.093630930172958E+02,7.868683863138892E-02,4.033778752507302E+02,4.8300070160957216E+02,5.0477639465126595E+02,0E+00,5.175559786156013E-02,9.00477170196962E-03,1E+00,2.080740030431824E-01,4.96E+03,1.0269417197929351E-01
49,-1.4E+01,92,2.547361328E+02,6.113667187200001E+03,8.142686922550324E+02,1.331882595702694E-01,6.442804285342312E+02,7.737493241166403E+02,8.07194898625422E+02,0E+00,4.976166776863038E-02,8.687296585136237E-03,1E+00,2.0876188086028014E-01,4.96E+03,1.6416707505141784E-01
50,-1.6E+01,90,2.697206112E+02,6.4732946688E+03,1.0168641260578476E+03,1.570860246728658E-01,8.038204121496716E+02,9.682636766828284E+02,1.0083005812132377E+03,0E+00,4.779443794859012E-02,8.421523215504437E-03,1E+00,2.0951050238550384E-01,4.96E+03,2.0501292864069506E-01
